30-06-26,00:00:20,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.04E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.99E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:01:20,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.04E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.98E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:02:22,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.04E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.98E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:03:22,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.04E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.99E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:04:24,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.04E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.97E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:05:24,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.04E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.98E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:06:24,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.03E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.99E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:07:26,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.04E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.98E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:08:28,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.03E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.99E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
30-06-26,00:09:28,CH1,P1  ,0, 2.00E-2,4,1,CH2,P2  ,1, 7.04E-1,0,1,CH3,P3  ,1,-6.00E+0,0,1,CH4,P4  ,1, 3.48E+2,0,1,CH5,P5  ,1, 6.99E+2,0,1,CH6,P6,1, 1.05E+3,0,1,
