25-06-26,00:00:02,0.382867
25-06-26,00:00:12,0.381317
25-06-26,00:00:22,0.380709
25-06-26,00:00:32,0.379326
25-06-26,00:00:42,0.378490
25-06-26,00:00:52,0.376864
25-06-26,00:01:02,0.374128
25-06-26,00:01:12,0.372624
25-06-26,00:01:22,0.372213
25-06-26,00:01:32,0.371013
25-06-26,00:01:42,0.371104
25-06-26,00:01:52,0.370739
25-06-26,00:02:02,0.371089
25-06-26,00:02:12,0.370511
25-06-26,00:02:22,0.369386
25-06-26,00:02:32,0.369402
25-06-26,00:02:42,0.368490
25-06-26,00:02:52,0.367699
25-06-26,00:03:02,0.367669
25-06-26,00:03:12,0.367395
25-06-26,00:03:22,0.366544
25-06-26,00:03:32,0.366681
25-06-26,00:03:42,0.366225
25-06-26,00:03:52,0.366104
25-06-26,00:04:02,0.366909
25-06-26,00:04:12,0.367730
25-06-26,00:04:22,0.367745
25-06-26,00:04:32,0.367715
25-06-26,00:04:42,0.369250
25-06-26,00:04:52,0.368247
25-06-26,00:05:02,0.370937
25-06-26,00:05:12,0.371636
25-06-26,00:05:22,0.372669
25-06-26,00:05:32,0.375299
25-06-26,00:05:42,0.376332
25-06-26,00:05:52,0.377396
25-06-26,00:06:02,0.377077
25-06-26,00:06:12,0.379144
25-06-26,00:06:22,0.381211
25-06-26,00:06:32,0.380101
25-06-26,00:06:42,0.383749
25-06-26,00:06:52,0.384114
25-06-26,00:07:02,0.384661
25-06-26,00:07:12,0.384539
25-06-26,00:07:22,0.384539
25-06-26,00:07:32,0.384417
25-06-26,00:07:42,0.382791
25-06-26,00:07:52,0.382806
25-06-26,00:08:02,0.381119
25-06-26,00:08:12,0.379691
25-06-26,00:08:22,0.378262
25-06-26,00:08:32,0.376803
25-06-26,00:08:42,0.373779
25-06-26,00:08:52,0.372487
25-06-26,00:09:02,0.371727
25-06-26,00:09:12,0.370739
25-06-26,00:09:22,0.369721
25-06-26,00:09:32,0.369797
25-06-26,00:09:42,0.369751
25-06-26,00:09:52,0.369569
25-06-26,00:10:02,0.370086
25-06-26,00:10:12,0.369842
25-06-26,00:10:22,0.369280
25-06-26,00:10:32,0.369234
25-06-26,00:10:42,0.367806
25-06-26,00:10:52,0.367487
25-06-26,00:11:02,0.365936
25-06-26,00:11:12,0.365952
25-06-26,00:11:22,0.364675
25-06-26,00:11:32,0.364888
25-06-26,00:11:42,0.366392
25-06-26,00:11:52,0.367046
25-06-26,00:12:02,0.367730
25-06-26,00:12:12,0.368262
25-06-26,00:12:22,0.369113
25-06-26,00:12:32,0.370876
25-06-26,00:12:42,0.372274
25-06-26,00:12:52,0.372745
25-06-26,00:13:02,0.373323
25-06-26,00:13:12,0.375572
25-06-26,00:13:22,0.376849
25-06-26,00:13:32,0.378125
25-06-26,00:13:42,0.378566
25-06-26,00:13:52,0.379736
25-06-26,00:14:02,0.380922
25-06-26,00:14:12,0.380724
25-06-26,00:14:22,0.382882
25-06-26,00:14:32,0.383399
25-06-26,00:14:42,0.384478
25-06-26,00:14:52,0.383521
25-06-26,00:15:02,0.383293
25-06-26,00:15:12,0.382898
25-06-26,00:15:22,0.382837
25-06-26,00:15:32,0.381484
25-06-26,00:15:42,0.380223
25-06-26,00:15:52,0.379083
25-06-26,00:16:02,0.377092
25-06-26,00:16:12,0.376043
25-06-26,00:16:22,0.373794
25-06-26,00:16:32,0.373171
25-06-26,00:16:42,0.372213
25-06-26,00:16:52,0.371985
25-06-26,00:17:02,0.369523
25-06-26,00:17:12,0.369204
25-06-26,00:17:22,0.370678
25-06-26,00:17:32,0.370329
25-06-26,00:17:42,0.370830
25-06-26,00:17:52,0.370906
25-06-26,00:18:02,0.370253
25-06-26,00:18:12,0.367851
25-06-26,00:18:22,0.367669
25-06-26,00:18:32,0.366180
25-06-26,00:18:42,0.366681
25-06-26,00:18:52,0.367274
25-06-26,00:19:02,0.366195
25-06-26,00:19:12,0.366879
25-06-26,00:19:22,0.367289
25-06-26,00:19:32,0.366894
25-06-26,00:19:42,0.367760
25-06-26,00:19:52,0.367699
25-06-26,00:20:02,0.367867
25-06-26,00:20:12,0.368885
25-06-26,00:20:22,0.370937
25-06-26,00:20:32,0.373414
25-06-26,00:20:42,0.374402
25-06-26,00:20:52,0.375405
25-06-26,00:21:02,0.377426
25-06-26,00:21:12,0.378323
25-06-26,00:21:22,0.378369
25-06-26,00:21:32,0.379812
25-06-26,00:21:42,0.380056
25-06-26,00:21:52,0.381803
25-06-26,00:22:02,0.384417
25-06-26,00:22:12,0.382974
25-06-26,00:22:22,0.384433
25-06-26,00:22:32,0.384448
25-06-26,00:22:42,0.383582
25-06-26,00:22:52,0.383703
25-06-26,00:23:02,0.381241
25-06-26,00:23:12,0.381393
25-06-26,00:23:22,0.380831
25-06-26,00:23:32,0.378353
25-06-26,00:23:42,0.377396
25-06-26,00:23:52,0.376332
25-06-26,00:24:02,0.373779
25-06-26,00:24:12,0.373779
25-06-26,00:24:22,0.372061
25-06-26,00:24:32,0.371681
25-06-26,00:24:42,0.370481
25-06-26,00:24:52,0.369858
25-06-26,00:25:02,0.370617
25-06-26,00:25:12,0.370237
25-06-26,00:25:22,0.370709
25-06-26,00:25:32,0.370769
25-06-26,00:25:42,0.370040
25-06-26,00:25:52,0.369478
25-06-26,00:26:02,0.369447
25-06-26,00:26:12,0.367730
25-06-26,00:26:22,0.367061
25-06-26,00:26:32,0.366666
25-06-26,00:26:42,0.366164
25-06-26,00:26:52,0.366028
25-06-26,00:27:02,0.367623
25-06-26,00:27:12,0.367471
25-06-26,00:27:22,0.367547
25-06-26,00:27:32,0.368034
25-06-26,00:27:42,0.369128
25-06-26,00:27:52,0.369462
25-06-26,00:28:02,0.370389
25-06-26,00:28:12,0.372244
25-06-26,00:28:22,0.373596
25-06-26,00:28:32,0.374083
25-06-26,00:28:42,0.376408
25-06-26,00:28:52,0.377548
25-06-26,00:29:02,0.377472
25-06-26,00:29:12,0.377867
25-06-26,00:29:22,0.379676
25-06-26,00:29:32,0.380998
25-06-26,00:29:42,0.381773
25-06-26,00:29:52,0.384448
25-06-26,00:30:02,0.385208
25-06-26,00:30:12,0.383962
25-06-26,00:30:22,0.385132
25-06-26,00:30:32,0.383962
25-06-26,00:30:42,0.382199
25-06-26,00:30:52,0.382442
25-06-26,00:31:02,0.380466
25-06-26,00:31:12,0.380010
25-06-26,00:31:22,0.378627
25-06-26,00:31:32,0.376864
